HabHyg,Hip,Hab?,Display Name,Hyg,BayerFlamsteed,Gliese,BD,HD,HR,Proper Name,Spectral Class,Distance,Xg,Yg,Zg,AbsMag
0,0,1,Sol,0,Sol,,,,,Sol,G2V,0,0,0,0,4.85
2,71681,,Rigel Kentaurus B,51923,Alpha 2 Centauri,Gl 559 B,,128621,5460,Rigel Kentaurus B,K1V,1.3,1,-0.9,0,5.69237068
4,87937,,Barnard's Star,63339,,Gl 699,,,,Barnard's Star,sdM4,1.8,1.5,0.9,0.4,13.24790128
5,0,,Gl 406,86550,,Gl 406,,,-,,M6,2.4,-0.6,-1.2,2,16.55743932
6,54035,,Lalande 21185,40008,,Gl 411,,95735,,Lalande 21185,M2V,2.5,-1.1,-0.1,2.3,10.44864499
10,32349,,Sirius,23440,9 Alpha Canis Majoris,Gl 244,,48915,2491,Sirius,A0m...,2.6,-1.8,-1.9,-0.4,1.464398907
7,0,,UV Ceti A,85891,UV Ceti A,Gl 65 A,,,-,,dM5.5e,2.6,-0.6,0.1,-2.5,15.47291438
11,92403,,Gl 729,66660,,Gl 729,,,,,M3.5Ve,3,2.9,0.6,-0.5,13.09479628
13,16537,,18 Epsilon Eridani,11608,18 Epsilon Eridani,Gl 144,,22049,1084,,K2V,3.2,-2.1,-0.6,-2.4,6.192055687
12,0,,Gl 905,87444,,Gl 905,,,-,,dM6 e,3.2,-1,2.8,-0.9,14.78568497
14,57548,1,Gl 447,42468,,Gl 447,,,,,M4.5V,3.3,0,-1.7,2.9,13.50256408
15,114046,,Lacaille 9352,82776,,Gl 887,,217987,,Lacaille 9352,M2/M3V,3.3,1.3,0.1,-3,9.7536535
16,0,,EZ Aquarii,87374,EZ Aquarii,Gl 866,,,-,,M5 e,3.4,1.3,1.4,-2.8,15.00395131
18,37279,,Procyon,27267,10 Alpha Canis Minoris,Gl 280,,61421,2943,Procyon,F5IV-V,3.5,-2.8,-1.9,0.8,2.661298621
19,91772,,Gl 725 B,66187,,Gl 725 B,,173740,,,K5,3.5,0,3.2,1.4,11.9802587
20,104214,,61 Cygni A,75661,61 Cygni A,Gl 820,,201091,8085,,K5V,3.5,0.5,3.4,-0.4,7.500392855
24,1475,,GX Andromedae,1074,GX Andromedae,Gl 15 A,,1326,,,M1V,3.6,-1.5,3,-1.1,10.31788307
27,108870,,Epsilon Indi,79138,Epsilon Indi,Gl 845,,209100,8387,,K5V,3.6,2.2,-1,-2.7,6.892656352
28,36208,1,Luyten's Star,26436,,Gl 273,BD+05o1668,,,Luyten's Star,M5,3.8,-3.2,-2,0.7,11.95192438
29,24186,,Kapteyn's Star,17126,,Gl 191,,33793,,Kapteyn's Star,M0V,3.9,-1.1,-3,-2.3,10.88491382
30,105090,1,Lacaille 8760,76333,,Gl 825,,202560,,Lacaille 8760,M1/M2V,3.9,2.8,0.2,-2.8,8.688775957
31,0,,DO Cephei,87361,DO Cephei,Gl 860 B,,,-,,M6 V,4,-1,3.9,0,13.28552681
